Treatment,Temperature,CHX,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count
30C_CHX,30C,CHX,BioRep1,6,17,0
30C_CHX,30C,CHX,BioRep1,6,18,0
30C_CHX,30C,CHX,BioRep1,6,19,0
30C_CHX,30C,CHX,BioRep1,7,1,0
30C_CHX,30C,CHX,BioRep1,7,2,4
30C_CHX,30C,CHX,BioRep1,7,3,0
30C_CHX,30C,CHX,BioRep1,7,4,1
30C_CHX,30C,CHX,BioRep1,7,5,1
30C_CHX,30C,CHX,BioRep1,7,6,1
30C_CHX,30C,CHX,BioRep1,7,7,0
30C_CHX,30C,CHX,BioRep1,7,8,0
30C_CHX,30C,CHX,BioRep1,7,9,0
30C_CHX,30C,CHX,BioRep1,7,10,1
30C_CHX,30C,CHX,BioRep1,7,11,0
30C_CHX,30C,CHX,BioRep1,7,12,1
30C_CHX,30C,CHX,BioRep1,7,13,0
30C_CHX,30C,CHX,BioRep1,7,14,0
30C_CHX,30C,CHX,BioRep1,7,15,1
30C_CHX,30C,CHX,BioRep1,7,16,0
30C_CHX,30C,CHX,BioRep1,7,17,0
30C_CHX,30C,CHX,BioRep1,8,1,0
30C_CHX,30C,CHX,BioRep1,8,2,0
30C_CHX,30C,CHX,BioRep1,8,3,0
30C_CHX,30C,CHX,BioRep1,8,4,0
30C_CHX,30C,CHX,BioRep1,8,5,0
30C_CHX,30C,CHX,BioRep1,8,6,0
30C_CHX,30C,CHX,BioRep1,8,7,0
30C_CHX,30C,CHX,BioRep1,8,8,0
30C_CHX,30C,CHX,BioRep1,8,9,0
30C_CHX,30C,CHX,BioRep1,8,10,0
30C_CHX,30C,CHX,BioRep1,8,11,0
30C_CHX,30C,CHX,BioRep1,8,12,3
30C_CHX,30C,CHX,BioRep1,8,13,0
30C_CHX,30C,CHX,BioRep1,8,14,0
30C_CHX,30C,CHX,BioRep1,8,15,2
30C_CHX,30C,CHX,BioRep1,8,16,0
30C_CHX,30C,CHX,BioRep1,8,17,0
30C_CHX,30C,CHX,BioRep1,8,18,0
30C_CHX,30C,CHX,BioRep1,9,1,0
30C_CHX,30C,CHX,BioRep1,9,2,0
30C_CHX,30C,CHX,BioRep1,9,3,0
30C_CHX,30C,CHX,BioRep1,9,4,1
30C_CHX,30C,CHX,BioRep1,9,5,0
30C_CHX,30C,CHX,BioRep1,9,6,0
30C_CHX,30C,CHX,BioRep1,9,7,0
30C_CHX,30C,CHX,BioRep1,9,8,0
30C_CHX,30C,CHX,BioRep1,9,9,0
30C_CHX,30C,CHX,BioRep1,9,10,0
30C_CHX,30C,CHX,BioRep1,9,11,0
30C_CHX,30C,CHX,BioRep1,9,12,0
30C_CHX,30C,CHX,BioRep1,9,13,0
30C_noCHX,30C,mock,BioRep1,10,1,0
30C_noCHX,30C,mock,BioRep1,10,2,1
30C_noCHX,30C,mock,BioRep1,10,3,0
30C_noCHX,30C,mock,BioRep1,10,4,0
30C_noCHX,30C,mock,BioRep1,10,5,0
30C_noCHX,30C,mock,BioRep1,10,6,0
30C_noCHX,30C,mock,BioRep1,10,7,0
30C_noCHX,30C,mock,BioRep1,10,8,0
30C_noCHX,30C,mock,BioRep1,10,9,0
30C_noCHX,30C,mock,BioRep1,10,10,1
30C_noCHX,30C,mock,BioRep1,11,1,0
30C_noCHX,30C,mock,BioRep1,11,2,0
30C_noCHX,30C,mock,BioRep1,11,3,5
30C_noCHX,30C,mock,BioRep1,11,4,0
30C_noCHX,30C,mock,BioRep1,11,5,0
30C_noCHX,30C,mock,BioRep1,11,6,0
30C_noCHX,30C,mock,BioRep1,11,7,0
30C_noCHX,30C,mock,BioRep1,11,8,0
30C_noCHX,30C,mock,BioRep1,11,9,0
30C_noCHX,30C,mock,BioRep1,11,10,2
30C_noCHX,30C,mock,BioRep1,11,11,0
30C_noCHX,30C,mock,BioRep1,11,12,0
30C_noCHX,30C,mock,BioRep1,11,13,0
30C_noCHX,30C,mock,BioRep1,11,14,0
30C_noCHX,30C,mock,BioRep1,12,1,0
30C_noCHX,30C,mock,BioRep1,12,2,1
30C_noCHX,30C,mock,BioRep1,12,3,0
30C_noCHX,30C,mock,BioRep1,12,4,0
30C_noCHX,30C,mock,BioRep1,12,5,1
30C_noCHX,30C,mock,BioRep1,12,6,0
30C_noCHX,30C,mock,BioRep1,12,7,0
30C_noCHX,30C,mock,BioRep1,12,8,0
30C_noCHX,30C,mock,BioRep1,12,9,0
30C_noCHX,30C,mock,BioRep1,12,10,0
30C_noCHX,30C,mock,BioRep1,12,11,0
30C_noCHX,30C,mock,BioRep1,12,12,0
30C_noCHX,30C,mock,BioRep1,12,13,0
30C_noCHX,30C,mock,BioRep1,12,14,0
30C_noCHX,30C,mock,BioRep1,12,15,0
30C_noCHX,30C,mock,BioRep1,12,16,0
30C_noCHX,30C,mock,BioRep1,12,17,0
30C_noCHX,30C,mock,BioRep1,13,1,0
30C_noCHX,30C,mock,BioRep1,13,2,0
30C_noCHX,30C,mock,BioRep1,13,3,0
30C_noCHX,30C,mock,BioRep1,13,4,0
30C_noCHX,30C,mock,BioRep1,13,5,0
30C_noCHX,30C,mock,BioRep1,13,6,0
30C_noCHX,30C,mock,BioRep1,13,7,1
30C_noCHX,30C,mock,BioRep1,13,8,0
30C_noCHX,30C,mock,BioRep1,13,9,0
30C_noCHX,30C,mock,BioRep1,13,10,0
30C_noCHX,30C,mock,BioRep1,13,11,0
30C_noCHX,30C,mock,BioRep1,13,12,0
30C_noCHX,30C,mock,BioRep1,13,13,0
