# Run started 2024-04-14 15:46:55 
# Command: sedsim-driver.py --experiment-file ./sed-control-mol.txt --summary-only --summary-out ./results/summary-mol-full.txt
# Parameters:
#	experiment_file: ./sed-control-mol.txt
#	rcf_g: 20000
#	rotor_radius_cm: 10
#	sample_height_mm: 10
#	spin_time_sec: 900
#	viscosity: 1.002
#	number_of_molecules: 1000
#	replicates: 1
#	random_seed: 111
#	out_fname: None
#	summary_only: True
#	summary_out_fname: ./results/summary-mol-full.txt
#
#	experiment.id [string] = experiment identifier
#	spin.rcf.g [float] = rotor centrifugal force in g
#	spin.time.sec [float] = time of centrifuge spin in seconds
#	crosslink.mol.prob [float] = probability of crosslink per molecules
#	crosslink.nt.prob [float] = probability of crosslink per nucleotide
#	translation.prob [float] = fraction of maximal translation rate
#	mol.translation.prob [float] = probability this molecule is translated at maximal translation rate
#	protection.prob [float] = probability this molecule is protected from crosslinking
#	id [string] = molecule ID
#	length [int] = length in nucleotides
#	mass [float] = mass in g/mol
#	radius [float] = radius in nanometers
#	psup [float] = average proportion in the supernatant
#	pfree [float] = average proportion free (not in any cluster)
#	psupclust [float] = average proportion in the supernatant and in a cluster
#	count [float] = average number of molecules
#	reps [int] = number of replicates
#	avg.cluster.count [float] = average number of clusters this molecule is in
#	avg.cluster.size [float] = average number of molecules in average cluster
#	avg.cluster.length [float] = average cluster length in nucleotides
#	avg.cluster.mass [float] = average cluster mass in g/mol
#	avg.cluster.radius [float] = average cluster radius in nanometers
experiment.id	spin.rcf.g	spin.time.sec	crosslink.mol.prob	crosslink.nt.prob	translation.prob	mol.translation.prob	protection.prob	id	length	mass	radius	psup	pfree	psupclust	count	reps	avg.cluster.count	avg.cluster.size	avg.cluster.length	avg.cluster.mass	avg.cluster.radius
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL040C	797	263010.000000	9.262645	0.896667	0.680000	0.000000	3.000000	100	7.201667	3.540000	4860.930000	1.604106e+06	12.542938
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL041W	836	275880.000000	9.414328	0.885000	0.620000	0.000000	4.000000	100	5.904167	3.157500	4316.370000	1.424402e+06	12.606560
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL042C	2121	699930.000000	12.920015	0.810000	0.320000	0.000000	1.000000	100	5.370000	5.370000	8957.290000	2.955905e+06	17.979844
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL045C	1731	571230.000000	12.057581	0.850000	0.423333	0.000000	3.000000	100	5.888333	4.050000	6398.726667	2.111579e+06	16.275930
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL047C	4448	1467840.000000	16.619395	0.643333	0.113333	0.000000	3.000000	100	14.086667	12.590000	23194.936667	7.654329e+06	25.686462
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL050W	1013	334290.000000	10.049545	0.920000	0.580000	0.000000	1.000000	100	3.540000	3.540000	4962.650000	1.637674e+06	13.454467
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL051C	2517	830610.000000	13.694289	0.860000	0.350000	0.000000	1.000000	100	4.770000	4.770000	8624.080000	2.845946e+06	18.571573
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL055C	1710	564300.000000	12.007646	0.830000	0.360000	0.000000	1.000000	100	5.080000	5.080000	8065.980000	2.661773e+06	17.467493
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL056W	1758	580140.000000	12.121199	0.845000	0.427500	0.000000	4.000000	100	9.485000	5.932500	9641.845000	3.181808e+06	17.400180
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YBL057C	725	239250.000000	8.969208	0.930000	0.695000	0.000000	2.000000	100	4.950000	3.490000	4869.710000	1.607004e+06	11.842943
